Hotel Name,City,Country,Star Rating,Price per night,Amenities (array),Hotel Description,Review
Click Hostel Bangkok,Bangkok,thailand,8.3,"₹ 300 - ₹ 2,500","['Laundry Service', 'Child-Friendly']","Click Hostel Bangkok is a 2-star hostel situated in the center of Wattana, Bangkok. This hostel is just a 5 minutes' drive from Soi Cowboy street. It is located near the Emporium Shopping Mall and Samitivej Sukhumvit Hospital. The Click Hostel is a perfect holiday destination for couples and solo travelers that wish to explore the Bangkok nightlife to the fullest. The hostel is equipped with all the basic necessities that a traveler on the go could need. It has a facility of a shared kitchen as well, and because of its location, guests can find a number of restaurants close by. The hostel is just 7 minutes' drive from Queen Sirikit National Convention Centre. The very popular Benjasiri park is situated at a distance of 300 meters from this hostel. One doesnt need to worry about heavy expenses here, especially students that are on a budget.","Centrally located near a train station, this hostel offers you clean rooms at a budget-friendly rate. There is a locker right under the bed and for your privacy there is a curtain right in front of the bed. You can also charge your Smartphone right next to the pillow. The bathrooms are clean with free shampoo and shower gel and breakfast served is also delicious."
Suda Palace Hotel Bangkok,Bangkok,thailand,8.3,"₹ 2,500 - ₹ 5,000","['Laundry Service', 'Room Service', 'Restaurant', 'Hot Tub']","Suda Palace Hotel Bangkok is a 3-star hotel lonestled in Phaya Thai, Bangkok. Located within walking distance from Saphankwai BTS Skytrain Station, the hotel offers secure accommodation to the travelers visiting from all around the globe. The property is best suited for honeymooners and couples looking for a romantic getaway. Suda Palace Hotel Bangkok is also apt for business travelers as it maintains meeting and banquet facilities. It features outdoor furniture, a lush green garden and a wellness facility where one can get the ever so popular Thai massage. The hospitality and friendly approach of the hotel staff certainly make the guests feel at home and enable them in making memories that they can cherish for a lifetime. Suda Palace Hotel Bangkok stands at a distance of around 15 km from Don Mueang International Airport and it should not take more than half an hour for commuters.","Welcoming you with warm hospitality and prompt services, the staff at Suda Palace Hotel is sure to create an unforgettable experience for you. The rooms are well-maintained and equipped with necessary amenities for a comfortable stay. You can also fine street food stalls near the hotel along with a host of restaurants and bars."
Green Home Hostel Bangkok,Bangkok,thailand,8.3,"₹ 2,500 - ₹ 5,000","['Free Wi-Fi', 'Laundry Service']","Green Home Hostel is a 2-star accommodation property, located at a short distance from the shopping and business districts of Bangkok. As Green Home Hostel enjoys a convenient location, it serves as an ideal accommodation for business guests as well as travelers who wish to closely experience Bangkoks lively city life. This hotel is a budget accommodation that proudly boasts of a rooftop terrace where guests can head for some peaceful time in solace while enjoying the magnificent skyline of Bangkok. Further, the warm hospitality of the housekeeping members offers a memorable stay to the guests. Patrons are also offered the facility of accessing free Wi-Fi in every room of the hotel. The proximity of Green Home Hostel from the nearby tourist attractions and public transport terminals makes it the right choice to explore the must-see destinations of Bangkok.","Situated ideally in Pratunam shopping district and nearby Rathachewi BTS station, this 2-star property is a perfect accommodation if you are looking for a budget-friendly stay. The rooms are spotlessly clean and decently equpped with basic amenities. Further, the staff makes sure that you enjoy a comfortable stay."
Click Hostel Bangkok,Bangkok,thailand,8.3,"₹ 300 - ₹ 2,500","['Laundry Service', 'Child-Friendly']","Click Hostel Bangkok is a 2-star hostel situated in the center of Wattana, Bangkok. This hostel is just a 5 minutes' drive from Soi Cowboy street. It is located near the Emporium Shopping Mall and Samitivej Sukhumvit Hospital. The Click Hostel is a perfect holiday destination for couples and solo travelers that wish to explore the Bangkok nightlife to the fullest. The hostel is equipped with all the basic necessities that a traveler on the go could need. It has a facility of a shared kitchen as well, and because of its location, guests can find a number of restaurants close by. The hostel is just 7 minutes' drive from Queen Sirikit National Convention Centre. The very popular Benjasiri park is situated at a distance of 300 meters from this hostel. One doesnt need to worry about heavy expenses here, especially students that are on a budget.","Centrally located near a train station, this hostel offers you clean rooms at a budget-friendly rate. There is a locker right under the bed and for your privacy there is a curtain right in front of the bed. You can also charge your Smartphone right next to the pillow. The bathrooms are clean with free shampoo and shower gel and breakfast served is also delicious."
Klub Hotel Bangkok,Bangkok,thailand,8.3,"₹ 5,000 - ₹ 7,500","['Free Wi-Fi', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Airport Shuttle', 'Bar']","Klub Hotel Bangkok is one of the most elegant and impressive 3-star hotels located in Bangkok. Enjoying a wonderful location in Pratunam, which is Bangkoks major market, the hotel offers a memorable experience to its visitors. Ideal for couples and families, the hotel is an eclectic blend of design and style to relax the mind and refresh senses. It also offers a plethora of amenities and services to all its guests. The hotel houses a games room where one can indulge in a variety of games. Apart from housing a massage lounge, it also features a cinema room where guests can have fun while watching movies. In addition, the property boasts of its attractive design coupled with modern-day amenities. Within a 10-15-minute walk, people can reach a plethora of dining, shopping and transportation options, which include Pratunam Market, Platinum Fashion Mall, Erawan Four Face Buddha Shrine, BTS skytrain Phya Thai, Saab Koon Song and Somboon Seafood. The hotel is an approximately 30-minute drive from Don Mueang International Airport.","If you are a shopping enthusiast, this hotel is the right choice you as it is located close to the shopping precinct of Pratunam, Central World Shopping Complex and Platinum Fashion Mall. This relatively new hotel offers spacious rooms with en-suite bathrooms. The breakfast buffet menu offers a good selection of dishes including separate noodle and egg counters."
Lub D Bangkok Siam Hostel,Bangkok,thailand,8.3,"₹ 300 - ₹ 2,500","['Bar', 'Air-conditioned', 'Restaurant', 'Laundry Service']","Lub D Bangkok Siam presents a beautiful infrastructure with world-class amenities. The 3-star property is situated on the prominent Rama I Road, Thailand. The affordable boutique-style accommodation offers a restful shelter to business travelers, couples and families. The professionally skilled staffs of the hostel welcome the guests with a warm hospitality. The hostel is featured with world-class infrastructure and amenities to provide a holistic experience to the guests. The exotic property maintains a theatre, ladies dorm and cafe, and bar. Further, the hostel boasts of a computer station and complimentary Wi-Fi that can be accessed throughout the property. Moreover, the hostel is located close to famous dining, shopping and entertainment options. Notably, the Siam BTS Skytrain Station, MBK Shopping Centre, and Siam Paragon Mall are just a few steps from Lub D Bangkok Siam. The nearest Suvarnabhumi Airport is 24 km away from the property.","Proximity to BTS highway and Siam area, Lub D Bangkok Siam Hostel is a fine place for budget friendly travelers seeking a comfortable accommodation. This hostel offers four floors where the ground floor is reserved only for women. Wi-Fi facility is quite strong. The rooms are clean and the staff is quite friendly."
Tenface Hotel Bangkok ,Bangkok,thailand,8.3,"₹ 7,500 - ₹ 10,000","['Outdoor Pool', 'Air-conditioned', 'Laundry Service', 'Room Service', 'Restaurant', 'Airport Shuttle', 'Hot Tub']","Situated in the posh area of Ploenchit, Tenface Bangkok presents a deluxe stay in the heart of the city. The Vedic decor of the hotel is inspired by the stories of the Ramayana. The 4-star property is a cozy sanctuary for couples, families and business travelers in the global city. Further, it swanks an enticing swimming pool and a gorgeous atrium. Also, it boasts of a fitness center. For the expediency of the guests, there is an in-house restaurant and a bar in the premises. Not just this, the hotel also features a banquet hall, conference room, and a business center. Suvarnabhumi International Airport is about 22 km from the place. Notably, the hotel offers an airport transfer service to the guests. BTS Ploenchit skytrain station is at a walking distance from the property. Furthermore, travelers staying in this property can visit the nearby tourists spots such as Bangkok City Pillar, the Temple of the Golden Mount, Wat Arun, and Grand Palace.","Tenface is a marvelous accommodation option for a luxurious holiday. The hotel offers tastefully designed rooms, complimentary breakfast and a pool wherein you can spend some relaxing moments. Also, this property is located nearby many restaurants and landmarks."
Tewa Boutique Hotel Bangkok,Bangkok,thailand,8.3,"₹ 5,000 - ₹ 7,500","['Laundry Service', 'Restaurant', 'Air-conditioned']","Crafted with the traditional Thai architecture, Tewa Boutique Hotel Bangkok presents an opportunity to embrace the rich Thai culture. Situated at Chaengwattana, the 4-star property is a cozy haven for couples, families and leisure travelers in Bangkok. Further, it swanks a beguiling swimming pool and an alluring garden. For the expediency of the guests, there is a multi-cuisine restaurant in the premises. Not just this, the boutique hotel also features a banquet hall and a conference room for hosting various events. Don Mueang International Airport is just 6 km from the place. Furthermore, guests staying in the hotel can visit the nearby tourists spots like the Temple of the Golden Mount, Bangkok City Pillar, Wat Arun, and Grand Palace.","This traditional Thai style hotel offers an impeccable accommodation option. Here, you will be pampered with elegant rooms, well-manicured gardens, and an American breakfast including bacon, toast, slad juice and coffee. Also, the commendable staff deserves a special mention."
The Bazaar Hotel Bangkok,Bangkok,thailand,8.3,"Above ₹ 10,000","['Laundry Service', 'Child-Friendly', 'Restaurant', 'Hot Tub', 'Fitness center', 'Bar']","The Bazaar Hotel Bangkok is one of the most luxurious 5-star properties located in Bangkok, which is well-known for its multifaceted sights to historical and cultural tourist attractions to royal palaces and temples. Situated on Ratchadaphisek road, which is Bangkoks one of the most growing business and entertainment districts, this elegant hotel has something for everyone. Offering a wide range of world-class facilities, The Bazaar Hotel proves to be one of the ideal places to relax and rejuvenate far away from the daily hustle and bustle. The hotel is a great retreat for couples as well as honeymoon travelers. The hotel features an azure blue swimming pool and fitness center, apart from featuring a 24-hour supermarket, food street, event halls, and theater. Guests can also avail massage services at the hotel. Moreover, this distinguished property offers exquisitely-furnished rooms to suit different preferences of its guests. Don Mueang International Airport is the nearest airport and is located at a distance of approximately 15 km.","Within a walking distance to the metro stations, the hotel is also close to the Chatuchak Market. The rooms at the hotel are very spacious with a kitchenette, living room and a bedroom, The ensuite bathrooms are equipped with bathtubs and other essential toiletries."
Yellow Ribbon Hills Executive Mansion Bangkok,Bangkok,thailand,8.3,"₹ 5,000 - ₹ 7,500","['Free Wi-Fi', 'Air-conditioned', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Hot Tub', 'Fitness center', 'Bar']","Yellow Ribbon Hills Boutique Suites is 3-star hotel in Bangkok that offers comfort and luxury like no other. The hotel is a luxurious place located right in the heart of Bangkok with easy access to the central business districts such as Sathorn, Silom and world-class shopping and entertainment arcades. The hotel offers a sophisticated shelter for couples, honeymooners or business and leisure travelers. The property boasts of its attractive design and modern-day amenities. Yellow Ribbon Hills Boutique Suites is 24 km away from Suvarnabhumi International Airport and 23.5 km away from Don Mueang International Airport. Its proximity to the nearby tourist attractions like Shopping Malls and Entertainment Spots in Sathorn, Silom, Siam Paragon, MBK, Patpong Night Market, Thaniya street adds to its value as well","Yellow Ribbon Hills Executive Mansion offers comfortable suites that are modernly furnished with a host of amenities. If you are looking for a luxurious stay without going too heavy on the pocket, you can consider this hotel. You can relax in the garden or head to the fitness center for a workout."
Hotel A Port Bangkok,Bangkok,thailand,8.2,"₹ 300 - ₹ 2,500","['Laundry Service', 'Child-Friendly', 'Restaurant', 'Spa']","Hotel A Port is a 2-star hotel in Lat Krabang. With great hospitality and service, the modestly designed A Port meets all the needs of the guests. Be it for business or personal travel, accommodation at this hotel makes ones stay worthwhile. All rooms have an overlooking balcony which provide a panoramic view of the city. Though located in the prime area, the hotel ensures quiet and calm interiors to its guests. It is ideal for guests above the age of 18. Children are also allowed, but in the presence of an adult. Simple, elegant, clean, and quaint, this hotel is a great place for the ones looking for a holistic experience. It is located at a short distance of 6.7 km from Suvarnabhumi International airport. Don Mueang International Airport is at a distance of 26.5 km. Public transportation is also easily accessible from the hotel with Ladkrabang Railway Station 1.2 km away. Airport Rail Link Ladkrabang is 1.3 km away.","If you are looking for budget friendly hotel without compromising on cleanliness and service, A-Port will live up to your expectations. Situated only five minutes from the airport, the rooms are spacious and clean and the restaurant next door offers good food and music. Choose this hotel if you are in transit and want complete value for your money."
Ambassador Hotel Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Air-conditioned', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Hot Tub', 'Spa', 'Fitness center', 'Bar']","Ambassador Hotel Bangkok is a stunning 3-star hotel conveniently located 100m from BTS Skytrain station. The hotel welcomes families, business travelers, and couples. The Ambassador Hotel Bangkok is well-received for the warm and opulent amenities and full-fledged services it offers, which include a swimming pool, spa, gym, sauna, bar, restaurants, and a squash court. Combining facilities for both business and recreational activities, it gives its guests a complete and gratifying experience. Its proximity to the transit stations makes commuting a breeze for its guests. It is close to the massive Pratunam market and the ancient Grand Palace. Located at a prime spot in Bangkok, guests can easily venture out to explore the culture of the city and have fun during shopping trips to collect memorable souvenirs to take back home.","Looking for a hotel that offers great hospitality at a fraction of a cost, then the Ambassador Hotel is just for you. Its central location combined with comfortable rooms and extremely helpful staff are few reasons on why this hotel is a good option for you."
Windsor Suites Hotel Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Free Breakfast', 'Outdoor Pool', 'Air-conditioned', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Hot Tub', 'Bar']","Windsor Suites Hotel Bangkok Thailand is an ideal 4-star property, which is known for offering the true essence of luxury to its guests. Located in one of the most well-known cities in the world, the property provides conventional brilliance in terms of comfort and amenities. Whether one is traveling to the city for leisure or business purpose, the hotel will always remain a restful castle in the heart of Bangkok. The hotel features a stunning swimming pool and spa and wellness center for the guests entertainment. Further, the hotels architecture boasts of an ideal blend of modern decors and interiors, reflecting the excellence of lavish property. Moreover, the property is conveniently situated in the center of Bangkok, along with an array of markets, restaurants and business centers. The hotel is located around 25 km from the Suvarnabhumi Airport.","This old hotel is located near Shukumvit Asok Station, and close to many tourist attractions. The hotel serves a great variety for breakfast and the food is delicious. The hotel has clean and quiet rooms for you to spend a relaxing holiday."
I Sanook Hostel Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Outdoor Pool', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Airport Shuttle', 'Hot Tub', 'Fitness center', 'Bar']","iSanook Hostel contributes to being a three-star hotel, nestled in Kwang Maha Pruttaram of Bangkok. Located at a closer distance of 1.7 km from Sampeng Market and 1.5 km from MBK shopping mall, this is an ideal destination for shopping lovers. The hotel is an ideal for couples and honeymoon travelers. It is also believed to be the prime choice of those travelers who seek keen interest in convenient public transport, friendly locals and delicious street food. It is the perfect spot to live in for those couples as the facilities have been rated as 8.6 for staying of two persons. The presence of different amenities and facilities make the place a suitable place for vacationers who are looking forward to staying in Bangkok in an exclusive budget. The iconic architecture of this hotel attracts tourists across the globe.","Ideally located amidst happening atmosphere, this hostel is the perfect place if you love exploring the local market and local food. The immaculately maintained rooms are equipped with AC, comfortable beds, towels, shampoo and much more. You can easily access night market, street food, convenience store, BTS, Siam Paragon and Centre World in the vicinity."
Hotel Double One By Aspira Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000",['Laundry Service'],"Double One Hotel By Aspira is a 3-star rated hotel perfectly situated at one of the most strategically prominent districts in Sukhumvit Road in Bangkok. The hotel accommodations and spaces have the perfect blend of both Thai and modern styles. It is ideal for families and couples. Double One Hotel By Aspira is in close proximity to all the nearby popular shopping venues where one can find locals, expats and tourists gathering and having a good time. Both the airports of the region which are the Suvarnabhumi International Airport and Don Mueang International Airport can be reached in 35-40 minutes by car. For exploring other parts of the city in a convenient way, one can easily access the Nana BTS Station or the Asok BTS Station which are both at a walkable distance from the hotel. The 7 Eleven convenience store and an ATM withdrawal facility both can be reached within minutes.","Located at a walkable distance from NaNa BTS station, various eateries & shopping hubs, this hotel is a perfect choice if you are seeking a budget-friendly hotel. You can gorge on mouth-watering meals at the in-house restaurant or can relax by the pool with your loved ones."
Royal Ivory Sukhumvit Nana By Compass Hospitality Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Air-conditioned', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Spa', 'Bar']","Royal Ivory Sukhumvit Nana By Compass Hospitality is a 3-star hotel situated in Bangkok and allows guests easy access to the rest of the city. The property is in close proximity to Bangkoks business centers and shopping malls with all state-of-the-art amenities that make this hotel an excellent choice for the ones looking for comfortable and affordable accommodation near the bustling city life. It is an ideal option for leisure and business travelers. Revitalize with a calm and relaxing massage in the hotel premises. The 3-star accommodation beautifully captures the elegance and beauty of the true Thai heritage. With spacious and fully furnished rooms that depict Thai style, guests at the hotel are sure to feel warm and welcome. Also, the Royal Ivory Sukhumvit Nana By Compass Hospitality Bangkok is approximately 5 minutes walk from Nana BTS Skytrain Station. Be anywhere in Bangkok by hopping on the Skytrain. Located centrally, the hotel is at a distance of 29 km from the Suvarnabhumi International Airport.","This is a pocket-friendly accommodation located close to various bars and restaurants. The rooms are huge and are provide you with clean washroom, large bed, lounge chair, a fridge and there are lots of channels on the TV for entertainment. There is a small swimming pool for you to take a cool dip. The staff is friendly and helpful to make your stay comfortable."
Hotel Royal President Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Outdoor Pool', 'Laundry Service', 'Business Center', 'Room Service', 'Child-Friendly', 'Restaurant', 'Airport Shuttle', 'Hot Tub', 'Spa', 'Bar']","Royal President Bangkok is a 4-star hotel located at Sukhumvit Soi 15 in Bangkok. The property is a few minutes away from the Asok BTS Skytrain and Sukhumvit MRT subway stations. One can find peace in the middle of a bustling city at the hotel. It may be located in the very center of bustling Bangkok, yet it provides a serene setting for its guests to relax and feel at peace. With a business center, meeting room and catering professionals on site to assist its guests in any event, the hotel is ideal for leisure and business travelers. Guests at the hotel need not worry about anything as the Sukhumvit Road is packed with restaurants, clubs, pubs, shops and entertainment outlets and is known as the center of shopping and entertainment district. Featuring a poolside Jacuzzi and a fitness center, there are several ways at the hotel to unwind. Royal President Bangkok provides 186 rooms that are ready to meet and fulfill the accommodation needs of its guests. The luxurious hotel is 25 km away from Suvarnabhumi International Airport.","Located about 10 mins walk from Asok BTS, Royal President offers standard rooms, deluxe and large suites. The sumptuous breakfast/lunch is delightful and there is baggage store for keeping your valuables safely while you are out exploring the city. There is mini mart on the first floor which is an added advantage and the staff is totally friendly."
Shanghai Mansion Bangkok,Bangkok,thailand,8.2,"₹ 5,000 - ₹ 7,500","['Air-conditioned', 'Laundry Service', 'Room Service', 'Restaurant', 'Spa', 'Bar']","Shanghai Mansion Bangkok is one of the oldest and charming properties in China Town, Thailand. The remarkable 4-star hotel was established in 1892 and till today it captivates the travelers attention due to a unique Shanghai charm that it boasts of. A stay in this hotel gives an access to complimentary experience of world-famous historic China Town. It is said to be an ideal destination for both couples and families. The hotel features meeting rooms, classic ballroom and butler service. The well-appointed rooms of the property facilitate a restful stay with excellent amenities and services. Not to forget, the hotels architecture evokes ancient art and culture of Thailand, offering an ideal glimpse of bygone era. Those who desire to take pleasure in an exclusive combination of luxury and comfort, Shanghai Mansion Bangkok promises them a wonderful experience. Moreover, guests can visit the well-known Grand Palace and Victory Monument. The boutique hotel is located 23 km away from the Don Mueang International Airport and around 27 km from Suvarnabhumi International Airport.","Situated in Chinatown, this beautiful boutique hotel with elegant Shanghai decor is centrally located close to a number of prime attractions and nightlife. Colorful rooms equipped with modern amenities make your stay comfortable. The Jazz bar with soothing music & tantalizing cocktails at the entrance is delightful."
Sala Arun Bangkok,Bangkok,thailand,8.2,"₹ 5,000 - ₹ 7,500","['Laundry Service', 'Restaurant', 'Bar']","Sala Arun Bangkok is a 4-star property, located in the prominent area of Bangkok City Centre. Enjoying a central location in the heart of historic Rattanakosin Island, Sala Arun is a suitable accommodation for visitors who want to explore the Thai capital's historic sites on foot. This hotel offers a plethora of services and facilities to its guests, along with direct views of the Temple of Dawn or Wat Po, which one can enjoy from the private balcony of their room. Sala Arun Bangkok is an ideal accommodation for corporate guests as well as leisure travelers. Along with all the essential amenities, guests are offered the opportunity to enjoy some time in solace on the terrace area of the hotel. The hotel offers modern furnished rooms that are ideal for a restful and rejuvenating stay after a hectic day of local sightseeing.","Sala Arun Bangkok features contemporary residential style apartments and is a short walk from the Grand Palace and many other prominent places. Wake up to the breathtaking view of the river, and enjoy the delicious complimentary breakfast. Furthermore, you can enjoy a cocktail at the rooftop bar which offers spectacular views of the city."
Buddy Boutique Inn Bangkok,Bangkok,thailand,8.2,"₹ 300 - ₹ 2,500","['Free parking', 'Outdoor Pool', 'Air-conditioned', 'Laundry Service']","The Buddy Boutique Inn Bangkok is a modern 3-star hotel located in the historic Khaosan district of Bangkok, Thailand. Travellers who wish to get a feel of the rich Thai cultural heritage and its history would find Buddy Boutique Inn Bangkok the right choice for their stay. The hotel is quite suitable for all types of visitors including families. It is located close to all the temples, monuments and palaces, giving visitors a glimpse of the ancient culture of Thailand. The hotel which has 23 boutique chic rooms offers luxury and comfort for its guests. The rooms are air-conditioned and have television with cable channel facility. Private bathrooms in the rooms have a shower. The world famous reclining Buddha, Emerald Buddha and the Grand palace are all close by. The hotel is equidistant from the two major airports Suvarnabhumi and Don Mueang, which can be reached in around 45 minutes by car.","If you want a hotel right in the middle of the action, then you wont regret staying in Buddy Boutique Inn. Situated close to Khao San Road, you are minutes away from various bars, pubs and clubs. The rooms are clean and comfortable and come with a security box and free bottles of water."
Centre Point Pratunam Hotel Bangkok,Bangkok,thailand,8.2,"₹ 7,500 - ₹ 10,000","['Outdoor Pool', 'Air-conditioned', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Hot Tub', 'Bar']","The Centre Point Pratunam Hotel Bangkok is a 4-star hotel located in the heart of the city. The hotel is ideal for both honeymoon couples as well as families. Children are welcomed here too and the hotel offers various amenities catering to their needs that includes a kids club, family room and a separate swimming pool for them. The stunning modern design of the hotel and the spacious rooms with hardwood floors make the stay of every guest at the hotel a memorable one. It is a shoppers delight with the Pratunam wholesale market and shopping mall like the Platinum shopping mall in proximity to the hotel. The property is pretty close to various popular sites including the Baiyoke Sky Tower, Suan Pakkad Palace Museum, KidZania Bangkok, SEA LIFE Bangkok Ocean World, and Bangkok Art & Culture Centre offering immense scope for exploring the city with family and friends. There are a lot of eateries close to the hotel offering a variety of cuisines for those who want a different culinary experience. Within close proximity to the Phaya Thai BTS network, guests can travel to any part of the city with ease. Guests at the Centre Point Pratunam Bangkok can get a spectacular view of the city from their rooms from their exclusive balconies. The property is just at a distance of 19.4 km from Don Mueang International Airport and 24.1 km from Suvarnabhumi International Airport.","Shopping enthusiasts will find this hotel perfectly situated, as it is a short walking distance to various street shops and malls. Platinum Fashion Mall is also located just across the road. The rooms are spacious and comfortable and some of them include a balcony too. Although small, the pool is perfect for a cool dip."
Dynasty Grande Hotel Bangkok,Bangkok,thailand,8.2,"Above ₹ 10,000","['Outdoor Pool', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Spa', 'Bar']","Dynasty Grande Hotel Bangkok is a lavish 4-star hotel which is located in the key area of the city, where there is a lot of hustle and bustle with the commercial areas, shopping centres, entertainments, embassies, banks, and the International hospitals. Dynasty Grande Hotel is the symbol of luxury in Bangkok and is considered a paradise for couples and honeymooners as they get to enjoy the best infrastructure and facilities here. This hotel has twin 7-story buildings including the Bloom caf which is popular for the fusion of Thai and International cuisines along with the bar. The fitness centre available with muscular machines and CYBEX cardio also adds to the advantage of staying in the hotel. Staying at Dynasty Grande gives the traveler easy access to all other parts of Bangkok.","Located at a 5-minute walk from Nana Skytrain and in the heart of the Nana Plaza District, this hotel offers spacious rooms inclusive of an HD TV, a small balcony and bathrooms with a separate shower & bathtub. As this hotel is close to Soi 4, you have easy access to a number of restaurants, bars, and entertainment options."
Furama Xclusive Asoke Hotel Bangkok,Bangkok,thailand,8.2,"₹ 5,000 - ₹ 7,500","['Outdoor Pool', 'Air-conditioned', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Hot Tub', 'Bar']","FuramaXclusive Asoke is a boutique hotel in Bangkok, located in one of the bustling business areas, Asoke. The nightlife and shopping malls are very popular in the area. Due to the hotels nearness to the BTS Station and MRT Station, various places of interest in Bangkok can be easily accessed from the hotel. Terminal 21 is a travel-themed shopping centre which is located in the close vicinity of the hotel. This 4-star accommodation provides luxury facilities and impeccable services and makes the guests more comfortable. FuramaXclusive Asoke Bangkok caters to the needs of both business travelers and casual travelers due to their perfect location. The hotel is located at 2.7 km from Erawan Shrine, 3.5 km from Pratunam Market, and 5 km from Siam Paragon Mall. The hotels houses chic style rooms, a classy restaurant, and bar, a lavish spa, elegant swimming pool, state of the art fitness centre.","Strategically located close to Terminal 21 and walking distance from MRT & BTS, this hotel offers good access to several shopping malls and entertainment areas of the city. The breakfast buffet is surprisingly delicious and quite valuable. The staff with its friendly service is extraordinary while the rooms are quite large and comfortable."
Happy 3 Hotel Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Outdoor Pool', 'Laundry Service', 'Child-Friendly', 'Restaurant', 'Bar']","Happy 3 Hotel, is a 3-star accommodation that is located at 33 Soi Kasemsan, on Rama road in Bangkok. Being located in the middle of the city makes it a perfect location. It is a perfect vacation spot for families and couples who are looking to explore the beauty of Bangkok. The hotel has a variety of modern amenities that sure to ensure a comfortable and luxurious stay for the guests here. The interiors of the hotel have soft tones and modern fittings. The rooms are well furnished and equipped with all state of the art amenities. Guests can enjoy a swim in the spectacular indoor pool at the hotel. Another great advantage of staying at Happy 3 Hotel is its proximity to various shopping centers. The MBK Center and Platinum Fashion Mall which are the two most-visited places in the city can be reached through a short drive. Happy 3 hotel is conveniently situated within a walkable distance of 5 minutes from BTS Skytrain Station. The Don Mueang International Airport is at a distance of 20 km and the Suvarnabhumi International Airport is at a distance of 25 km from the hotel.","Conveniently situated close to BTS Station, this hotel is a right option if you want to stay in a comfortable accommodation at a budget-friendly price. The rooms are spacious and clean and include complimentary bottles of water. You can easily take the canal boat to reach Banglamphu."
I Sanook Hostel Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000","['Outdoor Pool', 'Laundry Service', 'Room Service', 'Child-Friendly', 'Restaurant', 'Airport Shuttle', 'Hot Tub', 'Fitness center', 'Bar']","iSanook Hostel contributes to being a three-star hotel, nestled in Kwang Maha Pruttaram of Bangkok. Located at a closer distance of 1.7 km from Sampeng Market and 1.5 km from MBK shopping mall, this is an ideal destination for shopping lovers. The hotel is an ideal for couples and honeymoon travelers. It is also believed to be the prime choice of those travelers who seek keen interest in convenient public transport, friendly locals and delicious street food. It is the perfect spot to live in for those couples as the facilities have been rated as 8.6 for staying of two persons. The presence of different amenities and facilities make the place a suitable place for vacationers who are looking forward to staying in Bangkok in an exclusive budget. The iconic architecture of this hotel attracts tourists across the globe.","Ideally located amidst happening atmosphere, this hostel is the perfect place if you love exploring the local market and local food. The immaculately maintained rooms are equipped with AC, comfortable beds, towels, shampoo and much more. You can easily access night market, street food, convenience store, BTS, Siam Paragon and Centre World in the vicinity."
Hotel Double One By Aspira Bangkok,Bangkok,thailand,8.2,"₹ 2,500 - ₹ 5,000",['Laundry Service'],"Double One Hotel By Aspira is a 3-star rated hotel perfectly situated at one of the most strategically prominent districts in Sukhumvit Road in Bangkok. The hotel accommodations and spaces have the perfect blend of both Thai and modern styles. It is ideal for families and couples. Double One Hotel By Aspira is in close proximity to all the nearby popular shopping venues where one can find locals, expats and tourists gathering and having a good time. Both the airports of the region which are the Suvarnabhumi International Airport and Don Mueang International Airport can be reached in 35-40 minutes by car. For exploring other parts of the city in a convenient way, one can easily access the Nana BTS Station or the Asok BTS Station which are both at a walkable distance from the hotel. The 7 Eleven convenience store and an ATM withdrawal facility both can be reached within minutes.","Located at a walkable distance from NaNa BTS station, various eateries & shopping hubs, this hotel is a perfect choice if you are seeking a budget-friendly hotel. You can gorge on mouth-watering meals at the in-house restaurant or can relax by the pool with your loved ones."
